"Section","Section Hierarchy","Title","Preconditions","Steps","Expected Result","Priority"
"입력값 공격","보안 테스트 > 입력값 공격","","","","","Highest"
"입력값 공격","보안 테스트 > 입력값 공격","SQL Injection 공격 차단 (상품명 검색)","1. 로그인 상태
2. 상품 목록 페이지 접속","1. 상품명 검색어에 '' OR '1'='1' 입력
2. '검색' 버튼 클릭","1. SQL Injection 공격 차단됨
2. 검색 결과 0건 또는 정상 에러 처리
3. 전체 상품 목록 유출되지 않음
4. 데이터베이스 에러 정보 미노출","Highest"
"입력값 공격","보안 테스트 > 입력값 공격","SQL Injection 공격 차단 (UNION SELECT)","1. 로그인 상태
2. 상품 목록 페이지 접속","1. 상품명 검색어에 '' UNION SELECT * FROM users --' 입력
2. '검색' 버튼 클릭","1. UNION 공격 차단됨
2. 다른 테이블 데이터 미노출
3. 정상 검색 결과 또는 에러 메시지만 표시","Highest"
"입력값 공격","보안 테스트 > 입력값 공격","SQL Injection 공격 차단 (DROP TABLE)","1. 로그인 상태
2. 상품 목록 페이지 접속","1. 상품명 검색어에 '1; DROP TABLE goods; --' 입력
2. '검색' 버튼 클릭","1. SQL 명령어 실행되지 않음
2. 데이터베이스 테이블 정상 유지
3. 검색 결과 0건 또는 에러 메시지","Highest"
"입력값 공격","보안 테스트 > 입력값 공격","XSS 공격 차단 (검색어)","1. 로그인 상태
2. 상품 목록 페이지 접속","1. 상품명 검색어에 '<script>alert(document.cookie)</script>' 입력
2. '검색' 버튼 클릭","1. 스크립트 실행되지 않음
2. 입력값 이스케이프 처리되어 표시
3. 검색 결과 0건 또는 정상 처리","Highest"
"입력값 공격","보안 테스트 > 입력값 공격","XSS 공격 차단 (이미지 태그)","1. 로그인 상태
2. 상품 목록 페이지 접속","1. 상품명 검색어에 '<img src=x onerror=alert(1)>' 입력
2. '검색' 버튼 클릭","1. onerror 이벤트 실행되지 않음
2. 이미지 태그 이스케이프 또는 제거
3. 스크립트 실행 차단","High"
"입력값 공격","보안 테스트 > 입력값 공격","XSS 공격 차단 (SVG 태그)","1. 로그인 상태
2. 상품 목록 페이지 접속","1. 상품명 검색어에 '<svg onload=alert(1)>' 입력
2. '검색' 버튼 클릭","1. onload 이벤트 실행되지 않음
2. SVG 태그 이스케이프 또는 제거","High"
"입력값 공격","보안 테스트 > 입력값 공격","XSS 공격 차단 (URL 파라미터)","1. 로그인 상태
2. 상품 목록 URL 확인","1. URL 파라미터에 스크립트 삽입 (예: ?search=<script>alert(1)</script>)
2. Enter 키 입력","1. 스크립트 실행되지 않음
2. 검색어가 이스케이프되어 표시
3. 페이지 정상 렌더링","High"
"입력값 공격","보안 테스트 > 입력값 공격","CSRF 공격 방어 확인 (일괄 처리)","1. 로그인 상태
2. 상품 일괄 처리 API URL 확인","1. 개발자도구에서 CSRF 토큰 확인
2. 외부 사이트에서 해당 API 직접 호출 시도 (토큰 없이)","1. CSRF 토큰 검증 실패
2. 403 Forbidden 또는 400 Bad Request
3. 일괄 처리 요청 거부됨","High"
"정보 노출","보안 테스트 > 정보 노출","","","","","High"
"정보 노출","보안 테스트 > 정보 노출","에러 메시지에 시스템 정보 미노출","1. 로그인 상태
2. 상품 목록 페이지 접속","1. 잘못된 API 요청으로 서버 에러 유발
2. 에러 메시지 확인","1. 스택 트레이스 미노출
2. 데이터베이스 정보 미노출
3. 서버 경로 정보 미노출
4. 일반적인 에러 메시지만 표시","High"
"정보 노출","보안 테스트 > 정보 노출","API 응답에 불필요한 민감 정보 미포함","1. 로그인 상태
2. 개발자도구 > Network 탭 열기","1. 상품 목록 API 호출
2. 응답 데이터 확인","1. 필요한 상품 정보만 응답에 포함
2. 내부 시스템 ID, 원가 등 민감 정보 권한에 따라 제한
3. 타 파트너사 정보 미포함","High"
"정보 노출","보안 테스트 > 정보 노출","개인정보 마스킹 처리 확인","1. 로그인 상태
2. 상품 목록에 담당자 정보 포함된 경우","1. 상품 목록 조회
2. 담당자 연락처 필드 확인","1. 휴대폰번호 마스킹: 010-****-5678
2. 이메일 마스킹: te**@example.com
3. 민감 정보 마스킹 처리됨","High"
"파일 다운로드","보안 테스트 > 파일 다운로드","","","","","Medium"
"파일 다운로드","보안 테스트 > 파일 다운로드","엑셀 다운로드 시 악성 코드 실행 방지","1. 로그인 상태
2. 상품 목록 페이지 접속
3. 상품명에 엑셀 함수 포함 상품 존재 (예: =cmd|' /C calc'!A0)","1. 해당 상품 포함하여 엑셀 다운로드
2. 다운로드된 엑셀 파일 열기","1. 엑셀 함수 실행되지 않음
2. 텍스트로 저장되거나 이스케이프 처리
3. 수식 인젝션 공격 차단","Medium"
"파일 다운로드","보안 테스트 > 파일 다운로드","다운로드 파일 무결성 확인","1. 로그인 상태
2. 상품 목록 페이지 접속","1. 엑셀 다운로드 실행
2. 다운로드 중 네트워크 끊김 시뮬레이션","1. 불완전한 파일 생성 방지
2. 다운로드 실패 안내 메시지
3. 재다운로드 안내","Medium"
"네트워크/통신","보안 테스트 > 네트워크/통신","","","","","Medium"
"네트워크/통신","보안 테스트 > 네트워크/통신","HTTPS 강제 적용 확인","1. 브라우저 준비","1. HTTP로 상품 목록 페이지 접속 시도 (http://partner.stg.kurly.com)
2. 프로토콜 확인","1. HTTPS로 자동 리다이렉트
2. 브라우저 주소창에 자물쇠 아이콘 표시
3. 혼합 콘텐츠 경고 없음","High"
"네트워크/통신","보안 테스트 > 네트워크/통신","보안 헤더 적용 확인","1. 개발자도구 > Network 탭 열기","1. 상품 목록 페이지 요청 후 응답 헤더 확인","1. X-Content-Type-Options: nosniff
2. X-Frame-Options: DENY 또는 SAMEORIGIN
3. Content-Security-Policy 설정됨","Medium"
"동시성/세션","보안 테스트 > 동시성/세션","","","","","Medium"
"동시성/세션","보안 테스트 > 동시성/세션","동시 로그인 처리 확인","1. 테스트 계정 준비
2. 브라우저 2개 준비","1. 브라우저 A에서 로그인 후 상품 목록 조회
2. 브라우저 B에서 동일 계정으로 로그인
3. 브라우저 A에서 검색 버튼 클릭","1. 정책에 따라:
   - 기존 세션 유지: 두 브라우저 모두 정상 동작
   - 중복 로그인 차단: 브라우저 A 자동 로그아웃","Medium"
"동시성/세션","보안 테스트 > 동시성/세션","일괄 처리 동시 요청 처리","1. 로그인 상태
2. 브라우저 2개 또는 탭 2개 준비
3. 동일 상품 선택","1. 탭 A에서 상품 판매중지 일괄 처리 시작
2. 탭 B에서 동일 상품 판매재개 일괄 처리 시작 (거의 동시에)","1. 동시 요청 충돌 방지
2. 한쪽 요청만 처리 또는 순차 처리
3. 데이터 정합성 유지
4. 적절한 안내 메시지 표시","Medium"
