"Section","Section Hierarchy","Title","Preconditions","Steps","Expected Result","Priority"
"페이지네이션","상품 목록 > 페이지네이션","페이지당 표시 개수 변경","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록
3. 테스트 데이터: 상품 100개 이상 존재","1. 상품 목록 페이지 접속
2. 페이지당 표시 개수 드롭다운에서 '50개' 선택","1. 한 페이지에 50개 상품 표시
2. 페이지네이션 번호 재계산
3. 설정 유지됨 (세션 내)","Medium"
"다운로드 기능","상품 목록 > 다운로드 기능","","","","","High"
"다운로드 기능","상품 목록 > 다운로드 기능","엑셀 다운로드 - 전체 목록","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록
3. 테스트 데이터: 상품 100개 이상 존재","1. 상품 목록 페이지 접속
2. '엑셀 다운로드' 버튼 클릭","1. 엑셀 파일 다운로드 시작
2. 파일명: '상품목록_YYYYMMDD.xlsx' 형식
3. 목록의 모든 상품 데이터 포함
4. 컬럼 헤더 포함","High"
"다운로드 기능","상품 목록 > 다운로드 기능","엑셀 다운로드 - 검색 결과","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록
3. 사전 상태: 검색 조건으로 필터링된 상태","1. 검색 조건 입력 후 검색 수행
2. '엑셀 다운로드' 버튼 클릭","1. 검색 결과만 포함된 엑셀 파일 다운로드
2. 전체 데이터가 아닌 필터링된 데이터만 포함","High"
"다운로드 기능","상품 목록 > 다운로드 기능","엑셀 다운로드 - 선택 항목","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록
3. 테스트 데이터: 상품 10개 이상 존재","1. 상품 목록에서 체크박스로 5개 상품 선택
2. '선택 항목 다운로드' 버튼 클릭 (있는 경우)","1. 선택한 5개 상품만 포함된 엑셀 파일 다운로드
2. 미선택 상품은 제외됨","Medium"
"다운로드 기능","상품 목록 > 다운로드 기능","대용량 데이터 다운로드","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록
3. 테스트 데이터: 상품 10,000개 이상 존재","1. 상품 목록 페이지 접속
2. 전체 선택 또는 검색 없이 '엑셀 다운로드' 클릭","1. 다운로드 진행 중 로딩 인디케이터 표시
2. 다운로드 완료 후 성공 메시지
3. 파일 정상 열림 (깨짐 없음)
4. 타임아웃 발생 시 안내 메시지","Medium"
"상품 상세","상품 목록 > 상품 상세","","","","","High"
"상품 상세","상품 목록 > 상품 상세","상품 상세 페이지 이동","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록
3. 테스트 데이터: 상품 'PRD001' 존재","1. 상품 목록 페이지 접속
2. 상품 목록에서 'PRD001' 상품명 클릭","1. 상품 상세 페이지로 이동
2. 해당 상품 정보 표시
3. URL에 상품 ID 포함","High"
"상품 상세","상품 목록 > 상품 상세","상품 상세 새 탭에서 열기","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록","1. 상품 목록 페이지 접속
2. 상품명 우클릭 > '새 탭에서 열기' 선택 또는 Ctrl+클릭","1. 새 탭에서 상품 상세 페이지 열림
2. 기존 목록 페이지 유지
3. 새 탭에서 정상 로그인 상태 유지","Low"
"일괄 처리","상품 목록 > 일괄 처리","","","","","High"
"일괄 처리","상품 목록 > 일괄 처리","다중 상품 선택","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록
3. 테스트 데이터: 상품 10개 이상 존재","1. 상품 목록 페이지 접속
2. 개별 상품 체크박스 3개 클릭","1. 선택한 3개 상품 체크 표시
2. 선택 개수 표시 (예: '3개 선택')
3. 일괄 처리 버튼 활성화","High"
"일괄 처리","상품 목록 > 일괄 처리","전체 선택 / 전체 해제","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록
3. 테스트 데이터: 현재 페이지에 20개 상품 표시","1. 상품 목록 페이지 접속
2. 헤더의 전체 선택 체크박스 클릭
3. 다시 전체 선택 체크박스 클릭","1. 현재 페이지 모든 상품 선택됨
2. 선택 개수 '20개 선택' 표시
3. 재클릭 시 모든 선택 해제","High"
"일괄 처리","상품 목록 > 일괄 처리","일괄 판매중지 처리","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록
3. 테스트 데이터: 판매중 상품 5개 선택","1. 판매중 상품 5개 선택
2. '일괄 처리' 드롭다운에서 '판매중지' 선택
3. '적용' 버튼 클릭
4. 확인 다이얼로그에서 '확인' 클릭","1. '5개 상품을 판매중지 처리하시겠습니까?' 확인 다이얼로그 표시
2. 처리 완료 후 '판매중지 처리되었습니다' 메시지
3. 선택한 5개 상품 상태 '판매중지'로 변경
4. 목록 자동 새로고침","High"
"일괄 처리","상품 목록 > 일괄 처리","일괄 판매재개 처리","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록
3. 테스트 데이터: 판매중지 상품 3개 선택","1. 판매중지 상품 3개 선택
2. '일괄 처리' 드롭다운에서 '판매재개' 선택
3. '적용' 버튼 클릭
4. 확인 다이얼로그에서 '확인' 클릭","1. '3개 상품을 판매재개 처리하시겠습니까?' 확인 다이얼로그 표시
2. 처리 완료 후 '판매재개 처리되었습니다' 메시지
3. 선택한 3개 상품 상태 '판매중'으로 변경","High"
"일괄 처리","상품 목록 > 일괄 처리","일괄 삭제 처리","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록
3. 테스트 데이터: 삭제 가능한 상품 2개 선택","1. 상품 2개 선택
2. '일괄 처리' 드롭다운에서 '삭제' 선택
3. '적용' 버튼 클릭
4. 확인 다이얼로그에서 '확인' 클릭","1. '2개 상품을 삭제하시겠습니까? 이 작업은 되돌릴 수 없습니다.' 경고 다이얼로그 표시
2. 삭제 완료 후 '삭제되었습니다' 메시지
3. 목록에서 해당 상품 제거","High"
"일괄 처리","상품 목록 > 일괄 처리","일괄 처리 취소","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록
3. 사전 상태: 상품 선택 후 일괄 처리 확인 다이얼로그 표시","1. 상품 선택 후 일괄 처리 시도
2. 확인 다이얼로그에서 '취소' 버튼 클릭","1. 다이얼로그 닫힘
2. 일괄 처리 수행되지 않음
3. 기존 선택 상태 유지","Medium"
"오류 케이스","상품 목록 > 오류 케이스","","","","","Medium"
"오류 케이스","상품 목록 > 오류 케이스","날짜 역순 입력 (시작일 > 종료일)","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록","1. 상품 목록 페이지 접속
2. 등록일 시작일에 '2026-02-01' 입력
3. 등록일 종료일에 '2026-01-01' 입력
4. '검색' 버튼 클릭","1. '시작일이 종료일보다 늦을 수 없습니다' 에러 메시지 표시
2. 검색 수행되지 않음
3. 날짜 입력란 강조 표시","Medium"
"오류 케이스","상품 목록 > 오류 케이스","잘못된 날짜 형식 입력","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록","1. 상품 목록 페이지 접속
2. 등록일 시작일에 '2026/13/45' 직접 입력 시도","1. 잘못된 형식 입력 차단 또는
2. '올바른 날짜 형식으로 입력해주세요' 에러 메시지 표시","Medium"
"오류 케이스","상품 목록 > 오류 케이스","검색어에 특수문자 입력","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록","1. 상품 목록 페이지 접속
2. 상품명 검색어에 '<script>' 입력
3. '검색' 버튼 클릭","1. 스크립트 실행되지 않음
2. 검색 결과 0건 또는 정상 처리
3. 에러 발생하지 않음","Medium"
"오류 케이스","상품 목록 > 오류 케이스","미선택 상태에서 일괄 처리 시도","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록
3. 사전 상태: 상품 선택 없음","1. 상품 선택 없이 일괄 처리 버튼 클릭","1. '처리할 상품을 선택해주세요' 메시지 표시 또는
2. 일괄 처리 버튼 비활성화 상태","Medium"
"엣지 케이스","상품 목록 > 엣지 케이스","","","","","Medium"
"엣지 케이스","상품 목록 > 엣지 케이스","검색 버튼 더블클릭","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록","1. 상품 목록 페이지 접속
2. 검색 조건 입력
3. '검색' 버튼 빠르게 2회 클릭","1. 중복 요청 방지
2. API 1회만 호출
3. 검색 결과 정상 표시","Medium"
"엣지 케이스","상품 목록 > 엣지 케이스","일괄 처리 버튼 더블클릭","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록
3. 사전 상태: 상품 3개 선택","1. 상품 3개 선택
2. 일괄 처리 '적용' 버튼 빠르게 2회 클릭","1. 중복 요청 방지
2. 1회만 처리됨
3. 중복 처리 에러 없음","High"
"엣지 케이스","상품 목록 > 엣지 케이스","브라우저 뒤로가기 후 재검색","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록
3. 사전 상태: 검색 수행 후 상품 상세 이동","1. 상품 목록에서 검색 조건 입력 후 검색
2. 상품 상세 페이지로 이동
3. 브라우저 뒤로가기 버튼 클릭","1. 상품 목록 페이지로 복귀
2. 이전 검색 조건 유지
3. 검색 결과 유지 또는 자동 재검색","Medium"
"엣지 케이스","상품 목록 > 엣지 케이스","대용량 데이터 조회 (1000건 이상)","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록
3. 테스트 데이터: 상품 1,000건 이상 존재","1. 상품 목록 페이지 접속
2. 검색 조건 없이 전체 조회","1. 페이지 로딩 5초 이내 완료
2. UI 프리징 없음
3. 스크롤 정상 동작
4. 페이지네이션 정상 표시","Medium"
"엣지 케이스","상품 목록 > 엣지 케이스","검색어 앞뒤 공백 처리","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록
3. 테스트 데이터: 상품명 '테스트상품' 존재","1. 상품 목록 페이지 접속
2. 상품명 검색어에 '  테스트상품  ' (앞뒤 공백 포함) 입력
3. '검색' 버튼 클릭","1. 앞뒤 공백 자동 trim 처리
2. '테스트상품' 포함 상품 검색됨","Low"
"엣지 케이스","상품 목록 > 엣지 케이스","공백만 입력 후 검색","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록","1. 상품 목록 페이지 접속
2. 상품명 검색어에 '   ' (공백 3개) 입력
3. '검색' 버튼 클릭","1. 공백 trim 후 빈 값으로 처리
2. 전체 목록 표시 또는 '검색어를 입력해주세요' 메시지","Low"
"UX 검증","상품 목록 > UX 검증","","","","","Medium"
"UX 검증","상품 목록 > UX 검증","로딩 상태 표시","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록","1. 상품 목록 페이지 접속
2. 검색 버튼 클릭","1. 검색 버튼 클릭 시 로딩 인디케이터 표시
2. 검색 중 버튼 비활성화 또는 로딩 스피너
3. 완료 후 로딩 인디케이터 사라짐","Medium"
"UX 검증","상품 목록 > UX 검증","에러 발생 시 사용자 피드백","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록
3. 테스트 환경: 네트워크 지연 시뮬레이션 (개발자도구)","1. 개발자도구에서 네트워크 차단 또는 지연 설정
2. '검색' 버튼 클릭","1. 타임아웃 시 '요청 시간이 초과되었습니다' 에러 메시지
2. 재시도 버튼 또는 안내 제공
3. 페이지 전체 오류 발생하지 않음","Medium"
"UX 검증","상품 목록 > UX 검증","키보드 접근성","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록","1. Tab 키로 검색 필드 이동
2. Enter 키로 검색 실행
3. Tab 키로 목록 내 요소 이동","1. 키보드만으로 검색 기능 사용 가능
2. 포커스 순서 논리적
3. 포커스 표시 명확","Low"
